bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
38.0,590.0,590.0,0.0,100.0,0.0,22423.0,21840.0,583.0,37.39918146480127,95.26143790849673,57.86225644369546,37.46140651801029
39.0,591.0,590.0,1.0,99.83079526226734,0.16920473773265599,23014.0,22430.0,584.0,38.409507337705705,95.42483660130719,57.01532926360149,38.407534246575345
40.0,590.0,590.0,0.0,100.0,0.0,23604.0,23020.0,584.0,39.419833210610136,95.42483660130719,56.005003390697055,39.417808219178085
41.0,590.0,590.0,0.0,100.0,0.0,24194.0,23610.0,584.0,40.43015908351457,95.42483660130719,54.994677517792624,40.428082191780824
42.0,590.0,590.0,0.0,100.0,0.0,24784.0,24200.0,584.0,41.44048495641899,95.42483660130719,53.9843516448882,41.43835616438356
43.0,590.0,590.0,0.0,100.0,0.0,25374.0,24790.0,584.0,42.45081082932342,95.42483660130719,52.97402577198377,42.4486301369863
44.0,590.0,590.0,0.0,100.0,0.0,25964.0,25380.0,584.0,43.461136702227854,95.42483660130719,51.96369989907934,43.45890410958904
45.0,590.0,590.0,0.0,100.0,0.0,26554.0,25970.0,584.0,44.471462575132286,95.42483660130719,50.953374026174906,44.46917808219178
46.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,27144.0,26558.0,586.0,45.47836361456924,95.7516339869281,50.27327037235886,45.32081911262799
47.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,27734.0,27146.0,588.0,46.4852646540062,96.07843137254902,49.59316671854282,46.166666666666664
48.0,590.0,590.0,0.0,100.0,0.0,28324.0,27736.0,588.0,47.49559052691063,96.07843137254902,48.58284084563839,47.17006802721088
49.0,590.0,590.0,0.0,100.0,0.0,28914.0,28326.0,588.0,48.50591639981506,96.07843137254902,47.57251497273396,48.173469387755105
50.0,590.0,590.0,0.0,100.0,0.0,29504.0,28916.0,588.0,49.51624227271949,96.07843137254902,46.56218909982953,49.17687074829932
51.0,591.0,591.0,0.0,100.0,0.0,30095.0,29507.0,588.0,50.52828056235766,96.07843137254902,45.55015081019136,50.18197278911565
52.0,590.0,588.0,2.0,99.66101694915254,0.3389830508474603,30685.0,30095.0,590.0,51.53518160179461,96.40522875816994,44.87004715637533,51.00847457627118
53.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,31275.0,30682.0,593.0,52.540370224497835,96.89542483660131,44.35505461210347,51.74030354131535
54.0,590.0,590.0,0.0,100.0,0.0,31865.0,31272.0,593.0,53.550696097402266,96.89542483660131,43.34472873919904,52.735244519392914
55.0,590.0,590.0,0.0,100.0,0.0,32455.0,31862.0,593.0,54.56102197030669,96.89542483660131,42.33440286629462,53.73018549747049
56.0,590.0,590.0,0.0,100.0,0.0,33045.0,32452.0,593.0,55.57134784321112,96.89542483660131,41.324076993390186,54.72512647554806
57.0,590.0,587.0,3.0,99.49152542372882,0.5084745762711833,33635.0,33039.0,596.0,56.576536465914344,97.38562091503267,40.80908444911833,55.43456375838926
58.0,590.0,589.0,1.0,99.83050847457628,0.16949152542372303,34225.0,33628.0,597.0,57.58514992208504,97.54901960784314,39.9638696857581,56.32830820770519
59.0,590.0,590.0,0.0,100.0,0.0,34815.0,34218.0,597.0,58.59547579498947,97.54901960784314,38.95354381285367,57.31658291457286
60.0,590.0,590.0,0.0,100.0,0.0,35405.0,34808.0,597.0,59.6058016678939,97.54901960784314,37.943217939949236,58.30485762144053
61.0,590.0,590.0,0.0,100.0,0.0,35995.0,35398.0,597.0,60.61612754079833,97.54901960784314,36.932892067044804,59.29313232830821
62.0,591.0,591.0,0.0,100.0,0.0,36586.0,35989.0,597.0,61.628165830436494,97.54901960784314,35.92085377740664,60.28308207705193
63.0,590.0,590.0,0.0,100.0,0.0,37176.0,36579.0,597.0,62.638491703340925,97.54901960784314,34.91052790450221,61.2713567839196
64.0,590.0,590.0,0.0,100.0,0.0,37766.0,37169.0,597.0,63.64881757624536,97.54901960784314,33.90020203159778,62.25963149078727
