bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
33.0,121.0,121.0,0.0,100.0,0.0,3992.0,3841.0,151.0,32.22585787398272,84.35754189944134,52.131684025458625,25.43708609271523
34.0,121.0,121.0,0.0,100.0,0.0,4113.0,3962.0,151.0,33.241043711720785,84.35754189944134,51.11649818772056,26.23841059602649
35.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,4234.0,4082.0,152.0,34.247839583857704,84.91620111731844,50.66836153346073,26.855263157894736
36.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,4355.0,4202.0,153.0,35.25463545599463,85.47486033519553,50.2202248792009,27.464052287581698
37.0,121.0,119.0,2.0,98.34710743801652,1.652892561983478,4476.0,4321.0,155.0,36.25304136253041,86.59217877094972,50.339137408419305,27.87741935483871
38.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,4597.0,4441.0,156.0,37.25983723466734,87.15083798882682,49.891000754159485,28.46794871794872
39.0,121.0,121.0,0.0,100.0,0.0,4718.0,4562.0,156.0,38.2750230724054,87.15083798882682,48.87581491642142,29.243589743589745
40.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,4839.0,4682.0,157.0,39.28181894454233,87.70949720670392,48.427678262161585,29.821656050955415
41.0,121.0,121.0,0.0,100.0,0.0,4960.0,4803.0,157.0,40.29700478228039,87.70949720670392,47.412492424423526,30.59235668789809
42.0,121.0,121.0,0.0,100.0,0.0,5081.0,4924.0,157.0,41.312190620018455,87.70949720670392,46.39730658668546,31.363057324840764
43.0,121.0,121.0,0.0,100.0,0.0,5202.0,5045.0,157.0,42.32737645775652,87.70949720670392,45.38212074894739,32.13375796178344
44.0,121.0,121.0,0.0,100.0,0.0,5323.0,5166.0,157.0,43.34256229549459,87.70949720670392,44.36693491120933,32.904458598726116
45.0,121.0,121.0,0.0,100.0,0.0,5444.0,5287.0,157.0,44.357748133232654,87.70949720670392,43.35174907347126,33.67515923566879
46.0,121.0,121.0,0.0,100.0,0.0,5565.0,5408.0,157.0,45.37293397097072,87.70949720670392,42.336563235733195,34.445859872611464
47.0,121.0,121.0,0.0,100.0,0.0,5686.0,5529.0,157.0,46.38811980870879,87.70949720670392,41.32137739799513,35.21656050955414
48.0,121.0,121.0,0.0,100.0,0.0,5807.0,5650.0,157.0,47.40330564644685,87.70949720670392,40.30619156025706,35.98726114649681
49.0,121.0,121.0,0.0,100.0,0.0,5928.0,5771.0,157.0,48.41849148418491,87.70949720670392,39.291005722519,36.75796178343949
50.0,121.0,121.0,0.0,100.0,0.0,6049.0,5892.0,157.0,49.43367732192298,87.70949720670392,38.27581988478094,37.52866242038217
51.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,6170.0,6012.0,158.0,50.440473194059905,88.26815642458101,37.8276832305211,38.050632911392405
52.0,121.0,121.0,0.0,100.0,0.0,6291.0,6133.0,158.0,51.45565903179797,88.26815642458101,36.81249739278304,38.81645569620253
53.0,121.0,121.0,0.0,100.0,0.0,6412.0,6254.0,158.0,52.47084486953604,88.26815642458101,35.79731155504497,39.58227848101266
54.0,121.0,120.0,1.0,99.17355371900827,0.8264462809917319,6533.0,6374.0,159.0,53.47764074167296,88.8268156424581,35.349174900785144,40.088050314465406
55.0,121.0,121.0,0.0,100.0,0.0,6654.0,6495.0,159.0,54.49282657941102,88.8268156424581,34.33398906304708,40.84905660377358
56.0,121.0,121.0,0.0,100.0,0.0,6775.0,6616.0,159.0,55.50801241714909,88.8268156424581,33.31880322530901,41.61006289308176
57.0,121.0,121.0,0.0,100.0,0.0,6896.0,6737.0,159.0,56.523198254887156,88.8268156424581,32.303617387570945,42.37106918238994
58.0,121.0,121.0,0.0,100.0,0.0,7017.0,6858.0,159.0,57.53838409262522,88.8268156424581,31.28843154983288,43.132075471698116
