,Model,NVARS,Parameters,Trn,Tst,OOT
136,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.799027553,0.74904943,0.56424581
137,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.798373984,0.754716981,0.519553073
138,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.800319489,0.736220472,0.519553073
139,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=30, min_samples_split=60, n_estimators=20",0.800643087,0.744186047,0.519553073
140,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.766666667,0.74,0.541899441
141,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.788395904,0.734693878,0.553072626
142,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.755555556,0.73559322,0.558659218
143,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.770670827,0.711297071,0.541899441
144,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.779050736,0.743494424,0.56424581
145,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.772727273,0.71969697,0.56424581
146,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.767827529,0.76534296,0.56424581
147,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.765780731,0.744604317,0.569832402
148,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.7728,0.745098039,0.56424581
149,RF,10,"min_impurity_decrease=5e-06, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.786516854,0.700389105,0.56424581
150,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.76572327,0.733606557,0.553072626
151,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.75732899,0.733082707,0.519553073
152,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.743961353,0.733590734,0.530726257
153,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.761589404,0.68115942,0.541899441
154,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.773828756,0.731800766,0.547486034
155,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.765853659,0.735849057,0.56424581
156,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.759410802,0.706319703,0.553072626
157,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.755443886,0.731448763,0.502793296
158,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.7568438,0.764478764,0.575418994
159,RF,10,"min_impurity_decrease=1e-05, min_samples_leaf=60, min_samples_split=120, n_estimators=20",0.733974359,0.74609375,0.56424581
160,LGBM,10,min_split_gain=50,0.695299838,0.741444867,0.407821229
161,LGBM,10,min_split_gain=50,0.755033557,0.725352113,0.413407821
162,LGBM,10,min_split_gain=50,0.743464052,0.682835821,0.530726257
163,LGBM,10,min_split_gain=50,0.732704403,0.700819672,0.351955307
164,LGBM,10,min_split_gain=50,0.729372937,0.675182482,0.430167598
165,LGBM,10,min_split_gain=50,0.717206133,0.723549488,0.43575419
166,LGBM,10,min_split_gain=50,0.699675325,0.731060606,0.301675978
167,LGBM,10,min_split_gain=50,0.731270358,0.718045113,0.446927374
168,LGBM,10,min_split_gain=50,0.725040917,0.706319703,0.38547486
169,LGBM,10,min_split_gain=50,0.767326733,0.686131387,0.418994413
