,variables
1492,Merch_state_zip_variability_max_7
1493,Merch_state_zip_variability_min_7
1494,Merch_state_zip_variability_avg_7
1495,Merch_state_zip_actual/total_7
1496,Merch_state_zip_actual/max_7
1497,Merch_state_zip_actual/avg_7
1498,Merch_state_zip_std_7
1499,Merch_state_zip_total_7
1500,Merch_state_zip_max_7
1501,Merch_state_zip_avg_7
1502,Merch_state_zip_count_7
1503,Merch_state_zip_variability_std_3
1504,Merch_state_zip_variability_cum_3
1505,Merch_state_zip_variability_max_3
1506,Merch_state_zip_variability_min_3
1507,Merch_state_zip_variability_avg_3
1508,Merch_state_zip_actual/total_3
1509,Merch_state_zip_actual/max_3
1510,Merch_state_zip_actual/avg_3
1511,Merch_state_zip_std_3
1512,Merch_state_zip_total_3
1513,Merch_state_zip_max_3
1514,Merch_state_zip_avg_3
1515,Merch_state_zip_count_3
1516,Merch_state_zip_variability_std_1
1517,Merch_state_zip_variability_cum_1
1518,Merch_state_zip_variability_max_1
1519,Merch_state_zip_variability_min_1
1520,Merch_state_zip_variability_avg_1
1521,Merch_state_zip_actual/total_1
1522,Merch_state_zip_actual/max_1
1523,Merch_state_zip_actual/avg_1
1524,Merch_state_zip_std_1
1525,Merch_state_zip_total_1
1526,Merch_state_zip_max_1
1527,Merch_state_zip_avg_1
1528,Merch_state_zip_count_1
1529,Merch_state_zip_variability_std_0
1530,Merch_state_zip_variability_cum_0
1531,Merch_state_zip_variability_max_0
1532,Merch_state_zip_variability_min_0
1533,Merch_state_zip_variability_avg_0
1534,Merch_state_zip_actual/total_0
1535,Merch_state_zip_actual/max_0
1536,Merch_state_zip_actual/avg_0
1537,Merch_state_zip_std_0
1538,Merch_state_zip_total_0
1539,Merch_state_zip_max_0
1540,Merch_state_zip_avg_0
1541,Merch_state_zip_count_0
1542,Merch_state_zip_day_since
1543,Merch_des_zip_variability_std_30
1544,Merch_des_zip_variability_cum_30
1545,Merch_des_zip_variability_max_30
1546,Merch_des_zip_variability_min_30
1547,Merch_des_zip_variability_avg_30
1548,Merch_des_zip_actual/total_30
1549,Merch_des_zip_actual/max_30
1550,Merch_des_zip_actual/avg_30
1551,Merch_des_zip_std_30
1552,Merch_des_zip_total_30
1553,Merch_des_zip_max_30
1554,Merch_des_zip_avg_30
1555,Merch_des_zip_count_30
1556,Merch_des_zip_variability_std_14
1557,Merch_des_zip_variability_cum_14
1558,Merch_des_zip_variability_max_14
1559,Merch_des_zip_variability_min_14
1560,Merch_des_zip_variability_avg_14
1561,Merch_des_zip_actual/total_14
1562,Merch_des_zip_actual/max_14
1563,Merch_des_zip_actual/avg_14
1564,Merch_des_zip_std_14
1565,Merch_des_zip_total_14
1566,Merch_des_zip_max_14
1567,Merch_des_zip_avg_14
1568,Merch_des_zip_count_14
1569,Merch_des_zip_variability_std_7
1570,Merch_des_zip_variability_cum_7
1571,Merch_des_zip_variability_max_7
1572,Merch_des_zip_variability_min_7
1573,Merch_des_zip_variability_avg_7
1574,Merch_des_zip_actual/total_7
1575,Merch_des_zip_actual/max_7
1576,Merch_des_zip_actual/avg_7
1577,Merch_des_zip_std_7
1578,Merch_des_zip_total_7
1579,Merch_des_zip_max_7
1580,Merch_des_zip_avg_7
1581,Merch_des_zip_count_7
1582,Merch_des_zip_variability_std_3
1583,Merch_des_zip_variability_cum_3
1584,Merch_des_zip_variability_max_3
1585,Merch_des_zip_variability_min_3
1586,Merch_des_zip_variability_avg_3
1587,Merch_des_zip_actual/total_3
1588,Merch_des_zip_actual/max_3
1589,Merch_des_zip_actual/avg_3
1590,Merch_des_zip_std_3
1591,Merch_des_zip_total_3
1592,Merch_des_zip_max_3
1593,Merch_des_zip_avg_3
1594,Merch_des_zip_count_3
1595,Merch_des_zip_variability_std_1
1596,Merch_des_zip_variability_cum_1
1597,Merch_des_zip_variability_max_1
1598,Merch_des_zip_variability_min_1
1599,Merch_des_zip_variability_avg_1
1600,Merch_des_zip_actual/total_1
1601,Merch_des_zip_actual/max_1
1602,Merch_des_zip_actual/avg_1
1603,Merch_des_zip_std_1
1604,Merch_des_zip_total_1
1605,Merch_des_zip_max_1
1606,Merch_des_zip_avg_1
1607,Merch_des_zip_count_1
1608,Merch_des_zip_variability_std_0
1609,Merch_des_zip_variability_cum_0
1610,Merch_des_zip_variability_max_0
1611,Merch_des_zip_variability_min_0
1612,Merch_des_zip_variability_avg_0
1613,Merch_des_zip_actual/total_0
1614,Merch_des_zip_actual/max_0
1615,Merch_des_zip_actual/avg_0
1616,Merch_des_zip_std_0
1617,Merch_des_zip_total_0
1618,Merch_des_zip_max_0
1619,Merch_des_zip_avg_0
1620,Merch_des_zip_count_0
1621,Merch_des_zip_day_since
1622,Merch_des_state_variability_std_30
1623,Merch_des_state_variability_cum_30
1624,Merch_des_state_variability_max_30
1625,Merch_des_state_variability_min_30
1626,Merch_des_state_variability_avg_30
1627,Merch_des_state_actual/total_30
1628,Merch_des_state_actual/max_30
1629,Merch_des_state_actual/avg_30
1630,Merch_des_state_std_30
1631,Merch_des_state_total_30
1632,Merch_des_state_max_30
1633,Merch_des_state_avg_30
1634,Merch_des_state_count_30
1635,Merch_des_state_variability_std_14
1636,Merch_des_state_variability_cum_14
1637,Merch_des_state_variability_max_14
1638,Merch_des_state_variability_min_14
1639,Merch_des_state_variability_avg_14
1640,Merch_des_state_actual/total_14
1641,Merch_des_state_actual/max_14
1642,Merch_des_state_actual/avg_14
1643,Merch_des_state_std_14
1644,Merch_des_state_total_14
1645,Merch_des_state_max_14
1646,Merch_des_state_avg_14
1647,Merch_des_state_count_14
1648,Merch_des_state_variability_std_7
1649,Merch_des_state_variability_cum_7
1650,Merch_des_state_variability_max_7
1651,Merch_des_state_variability_min_7
1652,Merch_des_state_variability_avg_7
1653,Merch_des_state_actual/total_7
1654,Merch_des_state_actual/max_7
1655,Merch_des_state_actual/avg_7
1656,Merch_des_state_std_7
1657,Merch_des_state_total_7
1658,Merch_des_state_max_7
1659,Merch_des_state_avg_7
1660,Merch_des_state_count_7
1661,Merch_des_state_variability_std_3
1662,Merch_des_state_variability_cum_3
1663,Merch_des_state_variability_max_3
1664,Merch_des_state_variability_min_3
1665,Merch_des_state_variability_avg_3
1666,Merch_des_state_actual/total_3
1667,Merch_des_state_actual/max_3
1668,Merch_des_state_actual/avg_3
1669,Merch_des_state_std_3
1670,Merch_des_state_total_3
1671,Merch_des_state_max_3
1672,Merch_des_state_avg_3
1673,Merch_des_state_count_3
1674,Merch_des_state_variability_std_1
1675,Merch_des_state_variability_cum_1
1676,Merch_des_state_variability_max_1
1677,Merch_des_state_variability_min_1
1678,Merch_des_state_variability_avg_1
1679,Merch_des_state_actual/total_1
1680,Merch_des_state_actual/max_1
1681,Merch_des_state_actual/avg_1
1682,Merch_des_state_std_1
1683,Merch_des_state_total_1
1684,Merch_des_state_max_1
1685,Merch_des_state_avg_1
1686,Merch_des_state_count_1
1687,Merch_des_state_variability_std_0
1688,Merch_des_state_variability_cum_0
1689,Merch_des_state_variability_max_0
1690,Merch_des_state_variability_min_0
1691,Merch_des_state_variability_avg_0
1692,Merch_des_state_actual/total_0
1693,Merch_des_state_actual/max_0
1694,Merch_des_state_actual/avg_0
1695,Merch_des_state_std_0
1696,Merch_des_state_total_0
1697,Merch_des_state_max_0
1698,Merch_des_state_avg_0
1699,Merch_des_state_count_0
1700,Merch_des_state_day_since
1701,Merch_num_zip_variability_std_30
1702,Merch_num_zip_variability_cum_30
1703,Merch_num_zip_variability_max_30
1704,Merch_num_zip_variability_min_30
1705,Merch_num_zip_variability_avg_30
1706,Merch_num_zip_actual/total_30
1707,Merch_num_zip_actual/max_30
1708,Merch_num_zip_actual/avg_30
1709,Merch_num_zip_std_30
1710,Merch_num_zip_total_30
1711,Merch_num_zip_max_30
1712,Merch_num_zip_avg_30
1713,Merch_num_zip_count_30
1714,Merch_num_zip_variability_std_14
1715,Merch_num_zip_variability_cum_14
1716,Merch_num_zip_variability_max_14
1717,Merch_num_zip_variability_min_14
1718,Merch_num_zip_variability_avg_14
1719,Merch_num_zip_actual/total_14
1720,Merch_num_zip_actual/max_14
1721,Merch_num_zip_actual/avg_14
1722,Merch_num_zip_std_14
1723,Merch_num_zip_total_14
1724,Merch_num_zip_max_14
1725,Merch_num_zip_avg_14
1726,Merch_num_zip_count_14
1727,Merch_num_zip_variability_std_7
1728,Merch_num_zip_variability_cum_7
1729,Merch_num_zip_variability_max_7
1730,Merch_num_zip_variability_min_7
1731,Merch_num_zip_variability_avg_7
1732,Merch_num_zip_actual/total_7
1733,Merch_num_zip_actual/max_7
1734,Merch_num_zip_actual/avg_7
1735,Merch_num_zip_std_7
1736,Merch_num_zip_total_7
1737,Merch_num_zip_max_7
1738,Merch_num_zip_avg_7
1739,Merch_num_zip_count_7
1740,Merch_num_zip_variability_std_3
1741,Merch_num_zip_variability_cum_3
1742,Merch_num_zip_variability_max_3
1743,Merch_num_zip_variability_min_3
1744,Merch_num_zip_variability_avg_3
1745,Merch_num_zip_actual/total_3
1746,Merch_num_zip_actual/max_3
1747,Merch_num_zip_actual/avg_3
1748,Merch_num_zip_std_3
1749,Merch_num_zip_total_3
1750,Merch_num_zip_max_3
1751,Merch_num_zip_avg_3
1752,Merch_num_zip_count_3
1753,Merch_num_zip_variability_std_1
1754,Merch_num_zip_variability_cum_1
1755,Merch_num_zip_variability_max_1
1756,Merch_num_zip_variability_min_1
1757,Merch_num_zip_variability_avg_1
1758,Merch_num_zip_actual/total_1
1759,Merch_num_zip_actual/max_1
1760,Merch_num_zip_actual/avg_1
1761,Merch_num_zip_std_1
1762,Merch_num_zip_total_1
1763,Merch_num_zip_max_1
1764,Merch_num_zip_avg_1
1765,Merch_num_zip_count_1
1766,Merch_num_zip_variability_std_0
1767,Merch_num_zip_variability_cum_0
1768,Merch_num_zip_variability_max_0
1769,Merch_num_zip_variability_min_0
1770,Merch_num_zip_variability_avg_0
1771,Merch_num_zip_actual/total_0
1772,Merch_num_zip_actual/max_0
1773,Merch_num_zip_actual/avg_0
1774,Merch_num_zip_std_0
1775,Merch_num_zip_total_0
1776,Merch_num_zip_max_0
1777,Merch_num_zip_avg_0
1778,Merch_num_zip_count_0
1779,Merch_num_zip_day_since
1780,Merch_num_state_variability_std_30
1781,Merch_num_state_variability_cum_30
1782,Merch_num_state_variability_max_30
1783,Merch_num_state_variability_min_30
1784,Merch_num_state_variability_avg_30
1785,Merch_num_state_actual/total_30
1786,Merch_num_state_actual/max_30
1787,Merch_num_state_actual/avg_30
1788,Merch_num_state_std_30
1789,Merch_num_state_total_30
1790,Merch_num_state_max_30
1791,Merch_num_state_avg_30
1792,Merch_num_state_count_30
1793,Merch_num_state_variability_std_14
1794,Merch_num_state_variability_cum_14
1795,Merch_num_state_variability_max_14
1796,Merch_num_state_variability_min_14
1797,Merch_num_state_variability_avg_14
1798,Merch_num_state_actual/total_14
1799,Merch_num_state_actual/max_14
1800,Merch_num_state_actual/avg_14
1801,Merch_num_state_std_14
1802,Merch_num_state_total_14
1803,Merch_num_state_max_14
1804,Merch_num_state_avg_14
1805,Merch_num_state_count_14
1806,Merch_num_state_variability_std_7
1807,Merch_num_state_variability_cum_7
1808,Merch_num_state_variability_max_7
1809,Merch_num_state_variability_min_7
1810,Merch_num_state_variability_avg_7
1811,Merch_num_state_actual/total_7
1812,Merch_num_state_actual/max_7
1813,Merch_num_state_actual/avg_7
1814,Merch_num_state_std_7
1815,Merch_num_state_total_7
1816,Merch_num_state_max_7
1817,Merch_num_state_avg_7
1818,Merch_num_state_count_7
1819,Merch_num_state_variability_std_3
1820,Merch_num_state_variability_cum_3
1821,Merch_num_state_variability_max_3
1822,Merch_num_state_variability_min_3
1823,Merch_num_state_variability_avg_3
1824,Merch_num_state_actual/total_3
1825,Merch_num_state_actual/max_3
1826,Merch_num_state_actual/avg_3
1827,Merch_num_state_std_3
1828,Merch_num_state_total_3
1829,Merch_num_state_max_3
1830,Merch_num_state_avg_3
1831,Merch_num_state_count_3
1832,Merch_num_state_variability_std_1
1833,Merch_num_state_variability_cum_1
1834,Merch_num_state_variability_max_1
1835,Merch_num_state_variability_min_1
1836,Merch_num_state_variability_avg_1
1837,Merch_num_state_actual/total_1
1838,Merch_num_state_actual/max_1
1839,Merch_num_state_actual/avg_1
1840,Merch_num_state_std_1
1841,Merch_num_state_total_1
1842,Merch_num_state_max_1
1843,Merch_num_state_avg_1
1844,Merch_num_state_count_1
1845,Merch_num_state_variability_std_0
1846,Merch_num_state_variability_cum_0
1847,Merch_num_state_variability_max_0
1848,Merch_num_state_variability_min_0
1849,Merch_num_state_variability_avg_0
1850,Merch_num_state_actual/total_0
1851,Merch_num_state_actual/max_0
1852,Merch_num_state_actual/avg_0
1853,Merch_num_state_std_0
1854,Merch_num_state_total_0
1855,Merch_num_state_max_0
1856,Merch_num_state_avg_0
1857,Merch_num_state_count_0
1858,Merch_num_state_day_since
1859,Merch_num_des_variability_std_30
1860,Merch_num_des_variability_cum_30
1861,Merch_num_des_variability_max_30
1862,Merch_num_des_variability_min_30
1863,Merch_num_des_variability_avg_30
1864,Merch_num_des_actual/total_30
1865,Merch_num_des_actual/max_30
1866,Merch_num_des_actual/avg_30
1867,Merch_num_des_std_30
1868,Merch_num_des_total_30
1869,Merch_num_des_max_30
1870,Merch_num_des_avg_30
1871,Merch_num_des_count_30
1872,Merch_num_des_variability_std_14
1873,Merch_num_des_variability_cum_14
1874,Merch_num_des_variability_max_14
1875,Merch_num_des_variability_min_14
1876,Merch_num_des_variability_avg_14
1877,Merch_num_des_actual/total_14
1878,Merch_num_des_actual/max_14
1879,Merch_num_des_actual/avg_14
1880,Merch_num_des_std_14
1881,Merch_num_des_total_14
1882,Merch_num_des_max_14
1883,Merch_num_des_avg_14
1884,Merch_num_des_count_14
1885,Merch_num_des_variability_std_7
1886,Merch_num_des_variability_cum_7
1887,Merch_num_des_variability_max_7
1888,Merch_num_des_variability_min_7
1889,Merch_num_des_variability_avg_7
1890,Merch_num_des_actual/total_7
1891,Merch_num_des_actual/max_7
1892,Merch_num_des_actual/avg_7
1893,Merch_num_des_std_7
1894,Merch_num_des_total_7
1895,Merch_num_des_max_7
1896,Merch_num_des_avg_7
1897,Merch_num_des_count_7
1898,Merch_num_des_variability_std_3
1899,Merch_num_des_variability_cum_3
1900,Merch_num_des_variability_max_3
1901,Merch_num_des_variability_min_3
1902,Merch_num_des_variability_avg_3
1903,Merch_num_des_actual/total_3
1904,Merch_num_des_actual/max_3
1905,Merch_num_des_actual/avg_3
1906,Merch_num_des_std_3
1907,Merch_num_des_total_3
1908,Merch_num_des_max_3
1909,Merch_num_des_avg_3
1910,Merch_num_des_count_3
1911,Merch_num_des_variability_std_1
1912,Merch_num_des_variability_cum_1
1913,Merch_num_des_variability_max_1
1914,Merch_num_des_variability_min_1
1915,Merch_num_des_variability_avg_1
1916,Merch_num_des_actual/total_1
1917,Merch_num_des_actual/max_1
1918,Merch_num_des_actual/avg_1
1919,Merch_num_des_std_1
1920,Merch_num_des_total_1
1921,Merch_num_des_max_1
1922,Merch_num_des_avg_1
1923,Merch_num_des_count_1
1924,Merch_num_des_variability_std_0
1925,Merch_num_des_variability_cum_0
1926,Merch_num_des_variability_max_0
1927,Merch_num_des_variability_min_0
1928,Merch_num_des_variability_avg_0
1929,Merch_num_des_actual/total_0
1930,Merch_num_des_actual/max_0
1931,Merch_num_des_actual/avg_0
1932,Merch_num_des_std_0
1933,Merch_num_des_total_0
1934,Merch_num_des_max_0
1935,Merch_num_des_avg_0
1936,Merch_num_des_count_0
1937,Merch_num_des_day_since
1938,Merch_description_variability_std_30
1939,Merch_description_variability_cum_30
1940,Merch_description_variability_max_30
1941,Merch_description_variability_min_30
1942,Merch_description_variability_avg_30
1943,Merch_description_actual/total_30
1944,Merch_description_actual/max_30
1945,Merch_description_actual/avg_30
1946,Merch_description_std_30
1947,Merch_description_total_30
1948,Merch_description_max_30
1949,Merch_description_avg_30
1950,Merch_description_count_30
1951,Merch_description_variability_std_14
1952,Merch_description_variability_cum_14
1953,Merch_description_variability_max_14
1954,Merch_description_variability_min_14
1955,Merch_description_variability_avg_14
1956,Merch_description_actual/total_14
1957,Merch_description_actual/max_14
1958,Merch_description_actual/avg_14
1959,Merch_description_std_14
1960,Merch_description_total_14
1961,Merch_description_max_14
1962,Merch_description_avg_14
1963,Merch_description_count_14
1964,Merch_description_variability_std_7
1965,Merch_description_variability_cum_7
1966,Merch_description_variability_max_7
1967,Merch_description_variability_min_7
1968,Merch_description_variability_avg_7
1969,Merch_description_actual/total_7
1970,Merch_description_actual/max_7
1971,Merch_description_actual/avg_7
1972,Merch_description_std_7
1973,Merch_description_total_7
1974,Merch_description_max_7
1975,Merch_description_avg_7
1976,Merch_description_count_7
1977,Merch_description_variability_std_3
1978,Merch_description_variability_cum_3
1979,Merch_description_variability_max_3
1980,Merch_description_variability_min_3
1981,Merch_description_variability_avg_3
1982,Merch_description_actual/total_3
1983,Merch_description_actual/max_3
1984,Merch_description_actual/avg_3
1985,Merch_description_std_3
1986,Merch_description_total_3
1987,Merch_description_max_3
1988,Merch_description_avg_3
1989,Merch_description_count_3
1990,Merch_description_variability_std_1
1991,Merch_description_variability_cum_1
1992,Merch_description_variability_max_1
1993,Merch_description_variability_min_1
1994,Merch_description_variability_avg_1
1995,Merch_description_actual/total_1
1996,Merch_description_actual/max_1
1997,Merch_description_actual/avg_1
1998,Merch_description_std_1
1999,Merch_description_total_1
2000,Merch_description_max_1
2001,Merch_description_avg_1
2002,Merch_description_count_1
2003,Merch_description_variability_std_0
2004,Merch_description_variability_cum_0
2005,Merch_description_variability_max_0
2006,Merch_description_variability_min_0
2007,Merch_description_variability_avg_0
2008,Merch_description_actual/total_0
2009,Merch_description_actual/max_0
2010,Merch_description_actual/avg_0
2011,Merch_description_std_0
2012,Merch_description_total_0
2013,Merch_description_max_0
2014,Merch_description_avg_0
2015,Merch_description_count_0
2016,Merch_description_day_since
2017,Merchnum_variability_std_30
2018,Merchnum_variability_cum_30
2019,Merchnum_variability_max_30
2020,Merchnum_variability_min_30
2021,Merchnum_variability_avg_30
2022,Merchnum_actual/total_30
2023,Merchnum_actual/max_30
2024,Merchnum_actual/avg_30
2025,Merchnum_std_30
2026,Merchnum_total_30
2027,Merchnum_max_30
2028,Merchnum_avg_30
2029,Merchnum_count_30
2030,Merchnum_variability_std_14
2031,Merchnum_variability_cum_14
2032,Merchnum_variability_max_14
2033,Merchnum_variability_min_14
2034,Merchnum_variability_avg_14
2035,Merchnum_actual/total_14
2036,Merchnum_actual/max_14
2037,Merchnum_actual/avg_14
2038,Merchnum_std_14
2039,Merchnum_total_14
2040,Merchnum_max_14
2041,Merchnum_avg_14
2042,Merchnum_count_14
2043,Merchnum_variability_std_7
2044,Merchnum_variability_cum_7
2045,Merchnum_variability_max_7
2046,Merchnum_variability_min_7
2047,Merchnum_variability_avg_7
2048,Merchnum_actual/total_7
2049,Merchnum_actual/max_7
2050,Merchnum_actual/avg_7
2051,Merchnum_std_7
2052,Merchnum_total_7
2053,Merchnum_max_7
2054,Merchnum_avg_7
2055,Merchnum_count_7
2056,Merchnum_variability_std_3
2057,Merchnum_variability_cum_3
2058,Merchnum_variability_max_3
2059,Merchnum_variability_min_3
2060,Merchnum_variability_avg_3
2061,Merchnum_actual/total_3
2062,Merchnum_actual/max_3
2063,Merchnum_actual/avg_3
2064,Merchnum_std_3
2065,Merchnum_total_3
2066,Merchnum_max_3
2067,Merchnum_avg_3
2068,Merchnum_count_3
2069,Merchnum_variability_std_1
2070,Merchnum_variability_cum_1
2071,Merchnum_variability_max_1
2072,Merchnum_variability_min_1
2073,Merchnum_variability_avg_1
2074,Merchnum_actual/total_1
2075,Merchnum_actual/max_1
2076,Merchnum_actual/avg_1
2077,Merchnum_std_1
2078,Merchnum_total_1
2079,Merchnum_max_1
2080,Merchnum_avg_1
2081,Merchnum_count_1
2082,Merchnum_variability_std_0
2083,Merchnum_variability_cum_0
2084,Merchnum_variability_max_0
2085,Merchnum_variability_min_0
2086,Merchnum_variability_avg_0
2087,Merchnum_actual/total_0
2088,Merchnum_actual/max_0
2089,Merchnum_actual/avg_0
2090,Merchnum_std_0
2091,Merchnum_total_0
2092,Merchnum_max_0
2093,Merchnum_avg_0
2094,Merchnum_count_0
2095,Merchnum_day_since
2096,Cardnum_variability_std_30
2097,Cardnum_variability_cum_30
2098,Cardnum_variability_max_30
2099,Cardnum_variability_min_30
2100,Cardnum_variability_avg_30
2101,Cardnum_actual/total_30
2102,Cardnum_actual/max_30
2103,Cardnum_actual/avg_30
2104,Cardnum_std_30
2105,Cardnum_total_30
2106,Cardnum_max_30
2107,Cardnum_avg_30
2108,Cardnum_count_30
2109,Cardnum_variability_std_14
2110,Cardnum_variability_cum_14
2111,Cardnum_variability_max_14
2112,Cardnum_variability_min_14
2113,Cardnum_variability_avg_14
2114,Cardnum_actual/total_14
2115,Cardnum_actual/max_14
2116,Cardnum_actual/avg_14
2117,Cardnum_std_14
2118,Cardnum_total_14
2119,Cardnum_max_14
2120,Cardnum_avg_14
2121,Cardnum_count_14
2122,Cardnum_variability_std_7
2123,Cardnum_variability_cum_7
2124,Cardnum_variability_max_7
2125,Cardnum_variability_min_7
2126,Cardnum_variability_avg_7
2127,Cardnum_actual/total_7
2128,Cardnum_actual/max_7
2129,Cardnum_actual/avg_7
2130,Cardnum_std_7
2131,Cardnum_total_7
2132,Cardnum_max_7
2133,Cardnum_avg_7
2134,Cardnum_count_7
2135,Cardnum_variability_std_3
2136,Cardnum_variability_cum_3
2137,Cardnum_variability_max_3
2138,Cardnum_variability_min_3
2139,Cardnum_variability_avg_3
2140,Cardnum_actual/total_3
2141,Cardnum_actual/max_3
2142,Cardnum_actual/avg_3
2143,Cardnum_std_3
2144,Cardnum_total_3
2145,Cardnum_max_3
2146,Cardnum_avg_3
2147,Cardnum_count_3
2148,Cardnum_variability_std_1
2149,Cardnum_variability_cum_1
2150,Cardnum_variability_max_1
2151,Cardnum_variability_min_1
2152,Cardnum_variability_avg_1
2153,Cardnum_actual/total_1
2154,Cardnum_actual/max_1
2155,Cardnum_actual/avg_1
2156,Cardnum_std_1
2157,Cardnum_total_1
2158,Cardnum_max_1
2159,Cardnum_avg_1
2160,Cardnum_count_1
2161,Cardnum_variability_std_0
2162,Cardnum_variability_cum_0
2163,Cardnum_variability_max_0
2164,Cardnum_variability_min_0
2165,Cardnum_variability_avg_0
2166,Cardnum_actual/total_0
2167,Cardnum_actual/max_0
2168,Cardnum_actual/avg_0
2169,Cardnum_std_0
2170,Cardnum_total_0
2171,Cardnum_max_0
2172,Cardnum_avg_0
2173,Cardnum_count_0
2174,Cardnum_day_since
2175,card_Merch_all_info_vdratio_1_by_30
2176,card_Merch_all_info_total_1_by_30
2177,card_Merch_all_info_count_1_by_30
2178,card_Merch_all_info_vdratio_1_by_14
2179,card_Merch_all_info_vdratio_1_by_7
2180,card_Merch_all_info_vdratio_1_by_3
2181,card_Merch_all_info_vdratio_0_by_30
2182,card_Merch_all_info_total_0_by_30
2183,card_Merch_all_info_count_0_by_30
2184,card_Merch_all_info_vdratio_0_by_14
2185,card_Merch_all_info_vdratio_0_by_7
2186,card_Merch_all_info_vdratio_0_by_3
2187,card_Merch_des_state_zip_vdratio_1_by_30
2188,card_Merch_des_state_zip_total_1_by_30
2189,card_Merch_des_state_zip_count_1_by_30
2190,card_Merch_des_state_zip_vdratio_1_by_14
2191,card_Merch_des_state_zip_total_1_by_14
2192,card_Merch_des_state_zip_count_1_by_14
2193,card_Merch_des_state_zip_vdratio_1_by_7
2194,card_Merch_des_state_zip_total_1_by_7
2195,card_Merch_des_state_zip_count_1_by_7
2196,card_Merch_des_state_zip_vdratio_1_by_3
2197,card_Merch_des_state_zip_vdratio_0_by_30
2198,card_Merch_des_state_zip_total_0_by_30
2199,card_Merch_des_state_zip_count_0_by_30
2200,card_Merch_des_state_zip_vdratio_0_by_14
2201,card_Merch_des_state_zip_total_0_by_14
2202,card_Merch_des_state_zip_count_0_by_14
2203,card_Merch_des_state_zip_vdratio_0_by_7
2204,card_Merch_des_state_zip_total_0_by_7
2205,card_Merch_des_state_zip_count_0_by_7
2206,card_Merch_des_state_zip_vdratio_0_by_3
2207,card_Merch_num_state_zip_vdratio_1_by_30
2208,card_Merch_num_state_zip_total_1_by_30
2209,card_Merch_num_state_zip_count_1_by_30
2210,card_Merch_num_state_zip_vdratio_1_by_14
2211,card_Merch_num_state_zip_total_1_by_14
2212,card_Merch_num_state_zip_count_1_by_14
2213,card_Merch_num_state_zip_vdratio_1_by_7
2214,card_Merch_num_state_zip_total_1_by_7
2215,card_Merch_num_state_zip_count_1_by_7
2216,card_Merch_num_state_zip_vdratio_1_by_3
2217,card_Merch_num_state_zip_total_1_by_3
2218,card_Merch_num_state_zip_count_1_by_3
2219,card_Merch_num_state_zip_vdratio_0_by_30
2220,card_Merch_num_state_zip_total_0_by_30
2221,card_Merch_num_state_zip_count_0_by_30
2222,card_Merch_num_state_zip_vdratio_0_by_14
2223,card_Merch_num_state_zip_total_0_by_14
2224,card_Merch_num_state_zip_count_0_by_14
2225,card_Merch_num_state_zip_vdratio_0_by_7
2226,card_Merch_num_state_zip_total_0_by_7
2227,card_Merch_num_state_zip_count_0_by_7
2228,card_Merch_num_state_zip_vdratio_0_by_3
2229,card_Merch_num_state_zip_total_0_by_3
2230,card_Merch_num_state_zip_count_0_by_3
2231,card_Merch_num_des_zip_vdratio_1_by_30
2232,card_Merch_num_des_zip_total_1_by_30
2233,card_Merch_num_des_zip_count_1_by_30
2234,card_Merch_num_des_zip_vdratio_1_by_14
2235,card_Merch_num_des_zip_total_1_by_14
2236,card_Merch_num_des_zip_count_1_by_14
2237,card_Merch_num_des_zip_vdratio_1_by_7
2238,card_Merch_num_des_zip_total_1_by_7
2239,card_Merch_num_des_zip_count_1_by_7
2240,card_Merch_num_des_zip_vdratio_1_by_3
2241,card_Merch_num_des_zip_total_1_by_3
2242,card_Merch_num_des_zip_count_1_by_3
2243,card_Merch_num_des_zip_vdratio_0_by_30
2244,card_Merch_num_des_zip_total_0_by_30
2245,card_Merch_num_des_zip_count_0_by_30
2246,card_Merch_num_des_zip_vdratio_0_by_14
2247,card_Merch_num_des_zip_total_0_by_14
2248,card_Merch_num_des_zip_count_0_by_14
2249,card_Merch_num_des_zip_vdratio_0_by_7
2250,card_Merch_num_des_zip_total_0_by_7
2251,card_Merch_num_des_zip_count_0_by_7
2252,card_Merch_num_des_zip_vdratio_0_by_3
2253,card_Merch_num_des_zip_total_0_by_3
2254,card_Merch_num_des_zip_count_0_by_3
2255,card_Merch_num_des_state_vdratio_1_by_30
2256,card_Merch_num_des_state_total_1_by_30
2257,card_Merch_num_des_state_count_1_by_30
2258,card_Merch_num_des_state_vdratio_1_by_14
2259,card_Merch_num_des_state_total_1_by_14
2260,card_Merch_num_des_state_count_1_by_14
2261,card_Merch_num_des_state_vdratio_1_by_7
2262,card_Merch_num_des_state_total_1_by_7
2263,card_Merch_num_des_state_count_1_by_7
2264,card_Merch_num_des_state_vdratio_1_by_3
2265,card_Merch_num_des_state_total_1_by_3
2266,card_Merch_num_des_state_count_1_by_3
2267,card_Merch_num_des_state_vdratio_0_by_30
2268,card_Merch_num_des_state_total_0_by_30
2269,card_Merch_num_des_state_count_0_by_30
2270,card_Merch_num_des_state_vdratio_0_by_14
2271,card_Merch_num_des_state_total_0_by_14
2272,card_Merch_num_des_state_count_0_by_14
2273,card_Merch_num_des_state_vdratio_0_by_7
2274,card_Merch_num_des_state_total_0_by_7
2275,card_Merch_num_des_state_count_0_by_7
2276,card_Merch_num_des_state_vdratio_0_by_3
2277,card_Merch_num_des_state_total_0_by_3
2278,card_Merch_num_des_state_count_0_by_3
