,variables
224,card_Merch_num_des_state_variability_std_30
225,card_Merch_num_des_state_variability_cum_30
226,card_Merch_num_des_state_variability_max_30
227,card_Merch_num_des_state_variability_min_30
228,card_Merch_num_des_state_variability_avg_30
229,card_Merch_num_des_state_actual/total_30
230,card_Merch_num_des_state_actual/max_30
231,card_Merch_num_des_state_actual/avg_30
232,card_Merch_num_des_state_std_30
233,card_Merch_num_des_state_total_30
234,card_Merch_num_des_state_max_30
235,card_Merch_num_des_state_avg_30
236,card_Merch_num_des_state_count_30
237,card_Merch_num_des_state_variability_std_14
238,card_Merch_num_des_state_variability_cum_14
239,card_Merch_num_des_state_variability_max_14
240,card_Merch_num_des_state_variability_min_14
241,card_Merch_num_des_state_variability_avg_14
242,card_Merch_num_des_state_actual/total_14
243,card_Merch_num_des_state_actual/max_14
244,card_Merch_num_des_state_actual/avg_14
245,card_Merch_num_des_state_std_14
246,card_Merch_num_des_state_total_14
247,card_Merch_num_des_state_max_14
248,card_Merch_num_des_state_avg_14
249,card_Merch_num_des_state_count_14
250,card_Merch_num_des_state_variability_std_7
251,card_Merch_num_des_state_variability_cum_7
252,card_Merch_num_des_state_variability_max_7
253,card_Merch_num_des_state_variability_avg_7
254,card_Merch_num_des_state_actual/total_7
255,card_Merch_num_des_state_actual/max_7
256,card_Merch_num_des_state_actual/avg_7
257,card_Merch_num_des_state_std_7
258,card_Merch_num_des_state_total_7
259,card_Merch_num_des_state_max_7
260,card_Merch_num_des_state_avg_7
261,card_Merch_num_des_state_count_7
262,card_Merch_num_des_state_variability_std_3
263,card_Merch_num_des_state_variability_cum_3
264,card_Merch_num_des_state_variability_max_3
265,card_Merch_num_des_state_variability_avg_3
266,card_Merch_num_des_state_actual/total_3
267,card_Merch_num_des_state_actual/max_3
268,card_Merch_num_des_state_actual/avg_3
269,card_Merch_num_des_state_std_3
270,card_Merch_num_des_state_total_3
271,card_Merch_num_des_state_max_3
272,card_Merch_num_des_state_avg_3
273,card_Merch_num_des_state_count_3
274,card_Merch_num_des_state_variability_std_1
275,card_Merch_num_des_state_std_1
276,card_Merch_num_des_state_variability_std_0
277,card_Merch_num_des_state_std_0
278,card_Merch_num_des_state_day_since
279,card_Merch_state_zip_variability_std_30
280,card_Merch_state_zip_variability_cum_30
281,card_Merch_state_zip_variability_max_30
282,card_Merch_state_zip_variability_min_30
283,card_Merch_state_zip_variability_avg_30
284,card_Merch_state_zip_actual/total_30
285,card_Merch_state_zip_actual/max_30
286,card_Merch_state_zip_actual/avg_30
287,card_Merch_state_zip_std_30
288,card_Merch_state_zip_total_30
289,card_Merch_state_zip_max_30
290,card_Merch_state_zip_avg_30
291,card_Merch_state_zip_count_30
292,card_Merch_state_zip_variability_std_14
293,card_Merch_state_zip_variability_cum_14
294,card_Merch_state_zip_variability_max_14
295,card_Merch_state_zip_variability_min_14
296,card_Merch_state_zip_variability_avg_14
297,card_Merch_state_zip_actual/total_14
298,card_Merch_state_zip_actual/max_14
299,card_Merch_state_zip_actual/avg_14
300,card_Merch_state_zip_std_14
301,card_Merch_state_zip_total_14
302,card_Merch_state_zip_max_14
303,card_Merch_state_zip_avg_14
304,card_Merch_state_zip_count_14
305,card_Merch_state_zip_variability_std_7
306,card_Merch_state_zip_variability_cum_7
307,card_Merch_state_zip_variability_max_7
308,card_Merch_state_zip_variability_min_7
309,card_Merch_state_zip_variability_avg_7
310,card_Merch_state_zip_actual/total_7
311,card_Merch_state_zip_actual/max_7
312,card_Merch_state_zip_actual/avg_7
313,card_Merch_state_zip_std_7
314,card_Merch_state_zip_total_7
315,card_Merch_state_zip_max_7
316,card_Merch_state_zip_avg_7
317,card_Merch_state_zip_count_7
318,card_Merch_state_zip_variability_std_3
319,card_Merch_state_zip_variability_cum_3
320,card_Merch_state_zip_variability_max_3
321,card_Merch_state_zip_variability_min_3
322,card_Merch_state_zip_variability_avg_3
323,card_Merch_state_zip_actual/total_3
324,card_Merch_state_zip_actual/max_3
325,card_Merch_state_zip_actual/avg_3
326,card_Merch_state_zip_std_3
327,card_Merch_state_zip_total_3
328,card_Merch_state_zip_max_3
329,card_Merch_state_zip_avg_3
330,card_Merch_state_zip_count_3
331,card_Merch_state_zip_variability_std_1
332,card_Merch_state_zip_variability_cum_1
333,card_Merch_state_zip_variability_max_1
334,card_Merch_state_zip_variability_min_1
335,card_Merch_state_zip_variability_avg_1
336,card_Merch_state_zip_actual/total_1
337,card_Merch_state_zip_actual/max_1
338,card_Merch_state_zip_actual/avg_1
339,card_Merch_state_zip_std_1
340,card_Merch_state_zip_total_1
341,card_Merch_state_zip_max_1
342,card_Merch_state_zip_avg_1
343,card_Merch_state_zip_count_1
344,card_Merch_state_zip_variability_std_0
345,card_Merch_state_zip_variability_cum_0
346,card_Merch_state_zip_variability_max_0
347,card_Merch_state_zip_variability_min_0
348,card_Merch_state_zip_variability_avg_0
349,card_Merch_state_zip_actual/total_0
350,card_Merch_state_zip_actual/max_0
351,card_Merch_state_zip_actual/avg_0
352,card_Merch_state_zip_std_0
353,card_Merch_state_zip_total_0
354,card_Merch_state_zip_max_0
355,card_Merch_state_zip_avg_0
356,card_Merch_state_zip_count_0
357,card_Merch_state_zip_day_since
358,card_Merch_des_zip_variability_std_30
359,card_Merch_des_zip_variability_cum_30
360,card_Merch_des_zip_variability_max_30
361,card_Merch_des_zip_variability_min_30
362,card_Merch_des_zip_variability_avg_30
363,card_Merch_des_zip_actual/total_30
364,card_Merch_des_zip_actual/max_30
